period,flow,code,description,unit,quantity_mo_reported,quantity_ytd_reported,quantity_mo_grams,quantity_ytd_grams,value_mo_usd,value_ytd_usd,source_url,quantity_suppressed
1993-01,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,207139467,207139467,207139467,207139467,,,https://dataweb.usitc.gov/,False
1993-01,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,91651979,91651979,91651979,91651979,,,https://dataweb.usitc.gov/,False
1993-02,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,302643592,509783059,302643592,509783059,,,https://dataweb.usitc.gov/,False
1993-02,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,66798901,158450880,66798901,158450880,,,https://dataweb.usitc.gov/,False
1993-03,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,238851949,748635008,238851949,748635008,,,https://dataweb.usitc.gov/,False
1993-03,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,234768604,393219484,234768604,393219484,,,https://dataweb.usitc.gov/,False
1993-04,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,256268172,1004903180,256268172,1004903180,,,https://dataweb.usitc.gov/,False
1993-04,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,154045333,547264817,154045333,547264817,,,https://dataweb.usitc.gov/,False
1993-05,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,222929563,1227832743,222929563,1227832743,,,https://dataweb.usitc.gov/,False
1993-05,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,116482146,663746963,116482146,663746963,,,https://dataweb.usitc.gov/,False
1993-06,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,162764165,1390596908,162764165,1390596908,,,https://dataweb.usitc.gov/,False
1993-06,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,79899112,743646075,79899112,743646075,,,https://dataweb.usitc.gov/,False
1993-07,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,192911104,1583508012,192911104,1583508012,,,https://dataweb.usitc.gov/,False
1993-07,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,69876614,813522689,69876614,813522689,,,https://dataweb.usitc.gov/,False
1993-08,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,172789613,1756297625,172789613,1756297625,,,https://dataweb.usitc.gov/,False
1993-08,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,87134814,900657503,87134814,900657503,,,https://dataweb.usitc.gov/,False
1993-09,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,189067300,1945364925,189067300,1945364925,,,https://dataweb.usitc.gov/,False
1993-09,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,56955838,957613341,56955838,957613341,,,https://dataweb.usitc.gov/,False
1993-10,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,204126370,2149491295,204126370,2149491295,,,https://dataweb.usitc.gov/,False
1993-10,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,164592460,1122205801,164592460,1122205801,,,https://dataweb.usitc.gov/,False
1993-11,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,182363358,2331854653,182363358,2331854653,,,https://dataweb.usitc.gov/,False
1993-11,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,77009381,1199215182,77009381,1199215182,,,https://dataweb.usitc.gov/,False
1993-12,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,227188211,2559042864,227188211,2559042864,,,https://dataweb.usitc.gov/,False
1993-12,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,114841216,1314056398,114841216,1314056398,,,https://dataweb.usitc.gov/,False
1994-01,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,210710889,210710889,210710889,210710889,,,https://dataweb.usitc.gov/,False
1994-01,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,42567932,42567932,42567932,42567932,,,https://dataweb.usitc.gov/,False
1994-02,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,266459274,477170163,266459274,477170163,,,https://dataweb.usitc.gov/,False
1994-02,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,67514490,110082422,67514490,110082422,,,https://dataweb.usitc.gov/,False
1994-03,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,220699724,697869887,220699724,697869887,,,https://dataweb.usitc.gov/,False
1994-03,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,90590610,200673032,90590610,200673032,,,https://dataweb.usitc.gov/,False
1994-04,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,242064642,939934529,242064642,939934529,,,https://dataweb.usitc.gov/,False
1994-04,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,62142805,262815837,62142805,262815837,,,https://dataweb.usitc.gov/,False
1994-05,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,132660162,1072594691,132660162,1072594691,,,https://dataweb.usitc.gov/,False
1994-05,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,91614766,354430603,91614766,354430603,,,https://dataweb.usitc.gov/,False
1994-06,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,267178484,1339773175,267178484,1339773175,,,https://dataweb.usitc.gov/,False
1994-06,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,72017379,426447982,72017379,426447982,,,https://dataweb.usitc.gov/,False
1994-07,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,177001288,1516774463,177001288,1516774463,,,https://dataweb.usitc.gov/,False
1994-07,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,139801420,566249402,139801420,566249402,,,https://dataweb.usitc.gov/,False
1994-08,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,221744338,1738518801,221744338,1738518801,,,https://dataweb.usitc.gov/,False
1994-08,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,186855452,753104854,186855452,753104854,,,https://dataweb.usitc.gov/,False
1994-09,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,211280997,1949799798,211280997,1949799798,,,https://dataweb.usitc.gov/,False
1994-09,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,111301146,864406000,111301146,864406000,,,https://dataweb.usitc.gov/,False
1994-10,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,192246813,2142046611,192246813,2142046611,,,https://dataweb.usitc.gov/,False
1994-10,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,182472472,1046878472,182472472,1046878472,,,https://dataweb.usitc.gov/,False
1994-11,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,227827980,2369874591,227827980,2369874591,,,https://dataweb.usitc.gov/,False
1994-11,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,96599696,1143478168,96599696,1143478168,,,https://dataweb.usitc.gov/,False
1994-12,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,194398614,2564273205,194398614,2564273205,,,https://dataweb.usitc.gov/,False
1994-12,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,358930826,1502408994,358930826,1502408994,,,https://dataweb.usitc.gov/,False
1995-01,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,195819970,195819970,195819970,195819970,,,https://dataweb.usitc.gov/,False
1995-01,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,11179238,11179238,11179238,11179238,,,https://dataweb.usitc.gov/,False
1995-01,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,310897712,310897712,310897712,310897712,,,https://dataweb.usitc.gov/,False
1995-02,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,213536009,409355979,213536009,409355979,,,https://dataweb.usitc.gov/,False
1995-02,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,28627985,39807223,28627985,39807223,,,https://dataweb.usitc.gov/,False
1995-02,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,199134118,510031830,199134118,510031830,,,https://dataweb.usitc.gov/,False
1995-03,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,244485490,653841469,244485490,653841469,,,https://dataweb.usitc.gov/,False
1995-03,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,24603163,64410386,24603163,64410386,,,https://dataweb.usitc.gov/,False
1995-03,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,218745828,728777658,218745828,728777658,,,https://dataweb.usitc.gov/,False
1995-04,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,200444337,854285806,200444337,854285806,,,https://dataweb.usitc.gov/,False
