品种,日期,仓库代码,仓库名称,昨日仓单,今日注册,今日注销,今日仓单,增减
钯,20260610,207,贺利氏,10,0,0,10,0
钯,20260610,211,励福江门,5,0,0,5,0
铂,20260611,200,中工美上海虹桥,799,0,0,799,0
铂,20260611,201,外运华东上海虹桥,119,0,0,119,0
铂,20260611,202,深圳威豹,1568,0,35,1533,-35
铂,20260611,204,贵研易门,20,0,0,20,0
铂,20260611,205,中博世金,2289,0,0,2289,0
铂,20260611,206,浩通科技,220,0,0,220,0
铂,20260611,207,贺利氏,10,0,0,10,0
铂,20260611,208,英特派,390,0,0,390,0
铂,20260611,209,湖南百德金,0,5,0,5,5
铂,20260611,211,励福江门,2,0,0,2,0
钯,20260611,001,中储吴淞,10,0,0,10,0
钯,20260611,200,中工美上海虹桥,408,0,0,408,0
钯,20260611,201,外运华东上海虹桥,500,0,0,500,0
钯,20260611,202,深圳威豹,4237,0,78,4159,-78
钯,20260611,204,贵研易门,100,0,0,100,0
钯,20260611,205,中博世金,131,0,6,125,-6
钯,20260611,206,浩通科技,35,0,0,35,0
钯,20260611,207,贺利氏,10,0,0,10,0
钯,20260611,209,湖南百德金,0,5,0,5,5
钯,20260611,211,励福江门,5,0,0,5,0
铂,20260612,200,中工美上海虹桥,799,0,0,799,0
铂,20260612,201,外运华东上海虹桥,119,0,0,119,0
铂,20260612,202,深圳威豹,1533,0,35,1498,-35
铂,20260612,204,贵研易门,20,0,0,20,0
铂,20260612,205,中博世金,2289,0,4,2285,-4
铂,20260612,206,浩通科技,220,0,30,190,-30
铂,20260612,207,贺利氏,10,0,0,10,0
铂,20260612,208,英特派,390,0,0,390,0
铂,20260612,209,湖南百德金,5,0,0,5,0
铂,20260612,211,励福江门,2,0,0,2,0
钯,20260612,001,中储吴淞,10,0,0,10,0
钯,20260612,200,中工美上海虹桥,408,0,0,408,0
钯,20260612,201,外运华东上海虹桥,500,0,0,500,0
钯,20260612,202,深圳威豹,4159,0,17,4142,-17
钯,20260612,204,贵研易门,100,0,0,100,0
钯,20260612,205,中博世金,125,0,0,125,0
钯,20260612,206,浩通科技,35,0,0,35,0
钯,20260612,207,贺利氏,10,0,0,10,0
钯,20260612,209,湖南百德金,5,0,0,5,0
钯,20260612,211,励福江门,5,0,0,5,0
铂,20260615,200,中工美上海虹桥,799,0,0,799,0
铂,20260615,201,外运华东上海虹桥,119,0,0,119,0
铂,20260615,202,深圳威豹,1498,30,0,1528,30
铂,20260615,204,贵研易门,20,0,0,20,0
铂,20260615,205,中博世金,2285,0,15,2270,-15
铂,20260615,206,浩通科技,190,0,0,190,0
铂,20260615,207,贺利氏,10,0,0,10,0
铂,20260615,208,英特派,390,0,0,390,0
铂,20260615,209,湖南百德金,5,0,0,5,0
铂,20260615,211,励福江门,2,0,0,2,0
钯,20260615,001,中储吴淞,10,0,0,10,0
钯,20260615,200,中工美上海虹桥,408,0,0,408,0
钯,20260615,201,外运华东上海虹桥,500,0,0,500,0
钯,20260615,202,深圳威豹,4142,0,20,4122,-20
钯,20260615,204,贵研易门,100,0,0,100,0
钯,20260615,205,中博世金,125,0,0,125,0
钯,20260615,206,浩通科技,35,0,0,35,0
钯,20260615,207,贺利氏,10,0,0,10,0
钯,20260615,209,湖南百德金,5,0,0,5,0
钯,20260615,211,励福江门,5,0,0,5,0
铂,20260616,200,中工美上海虹桥,799,0,0,799,0
铂,20260616,201,外运华东上海虹桥,119,0,0,119,0
铂,20260616,202,深圳威豹,1528,55,0,1583,55
铂,20260616,204,贵研易门,20,0,0,20,0
铂,20260616,205,中博世金,2270,0,150,2120,-150
铂,20260616,206,浩通科技,190,0,0,190,0
铂,20260616,207,贺利氏,10,0,0,10,0
铂,20260616,208,英特派,390,0,90,300,-90
铂,20260616,209,湖南百德金,5,0,0,5,0
铂,20260616,211,励福江门,2,0,0,2,0
钯,20260616,001,中储吴淞,10,0,0,10,0
钯,20260616,200,中工美上海虹桥,408,0,1,407,-1
钯,20260616,201,外运华东上海虹桥,500,0,0,500,0
钯,20260616,202,深圳威豹,4122,0,1,4121,-1
钯,20260616,204,贵研易门,100,0,0,100,0
钯,20260616,205,中博世金,125,0,21,104,-21
钯,20260616,206,浩通科技,35,0,0,35,0
钯,20260616,207,贺利氏,10,0,0,10,0
钯,20260616,209,湖南百德金,5,0,0,5,0
钯,20260616,211,励福江门,5,0,0,5,0
铂,20260617,200,中工美上海虹桥,799,0,0,799,0
铂,20260617,201,外运华东上海虹桥,119,0,0,119,0
铂,20260617,202,深圳威豹,1583,0,0,1583,0
铂,20260617,204,贵研易门,20,0,0,20,0
铂,20260617,205,中博世金,2120,0,36,2084,-36
铂,20260617,206,浩通科技,190,0,0,190,0
铂,20260617,207,贺利氏,10,0,0,10,0
铂,20260617,208,英特派,300,0,0,300,0
铂,20260617,209,湖南百德金,5,0,0,5,0
铂,20260617,211,励福江门,2,0,0,2,0
钯,20260617,001,中储吴淞,10,0,0,10,0
钯,20260617,200,中工美上海虹桥,407,0,0,407,0
钯,20260617,201,外运华东上海虹桥,500,0,0,500,0
钯,20260617,202,深圳威豹,4121,0,15,4106,-15
钯,20260617,204,贵研易门,100,0,0,100,0
钯,20260617,205,中博世金,104,0,0,104,0
钯,20260617,206,浩通科技,35,0,0,35,0
钯,20260617,207,贺利氏,10,0,0,10,0
钯,20260617,209,湖南百德金,5,0,0,5,0
钯,20260617,211,励福江门,5,0,0,5,0
铂,20260618,200,中工美上海虹桥,799,0,23,776,-23
铂,20260618,201,外运华东上海虹桥,119,0,0,119,0
铂,20260618,202,深圳威豹,1583,55,2,1636,53
铂,20260618,204,贵研易门,20,0,0,20,0
铂,20260618,205,中博世金,2084,0,8,2076,-8
铂,20260618,206,浩通科技,190,0,0,190,0
铂,20260618,207,贺利氏,10,0,0,10,0
铂,20260618,208,英特派,300,0,33,267,-33
铂,20260618,209,湖南百德金,5,0,0,5,0
铂,20260618,211,励福江门,2,0,0,2,0
钯,20260618,001,中储吴淞,10,0,0,10,0
钯,20260618,200,中工美上海虹桥,407,0,0,407,0
钯,20260618,201,外运华东上海虹桥,500,0,0,500,0
钯,20260618,202,深圳威豹,4106,0,0,4106,0
钯,20260618,204,贵研易门,100,0,0,100,0
钯,20260618,205,中博世金,104,0,0,104,0
钯,20260618,206,浩通科技,35,0,0,35,0
钯,20260618,207,贺利氏,10,0,0,10,0
钯,20260618,209,湖南百德金,5,0,0,5,0
钯,20260618,211,励福江门,5,0,0,5,0
铂,20260622,200,中工美上海虹桥,776,0,1,775,-1
铂,20260622,201,外运华东上海虹桥,119,0,0,119,0
铂,20260622,202,深圳威豹,1636,0,0,1636,0
铂,20260622,204,贵研易门,20,0,0,20,0
铂,20260622,205,中博世金,2076,0,0,2076,0
铂,20260622,206,浩通科技,190,0,0,190,0
铂,20260622,207,贺利氏,10,0,0,10,0
铂,20260622,208,英特派,267,0,0,267,0
铂,20260622,209,湖南百德金,5,0,0,5,0
铂,20260622,211,励福江门,2,0,0,2,0
钯,20260622,001,中储吴淞,10,0,0,10,0
钯,20260622,200,中工美上海虹桥,407,0,0,407,0
