date,open,high,low,close,change,change_pct,avg_price,volume_kg,turnover_yuan,open_interest
2026-03-24,16200.00,17479.00,16180.00,17166.00,859,5.27%,16657.00,534268,8899782306,2912056
2026-03-25,17299.00,18508.00,16740.00,18121.00,1464,8.79%,18016.00,456886,8231344992,2890428
2026-03-26,18144.00,18200.00,17228.00,17292.00,-724,-4.02%,17725.00,429700,7616436638,2872224
2026-03-27,16830.00,17650.00,16800.00,17467.00,-258,-1.46%,17288.00,293094,5067156202,2849646
2026-03-30,17080.00,17940.00,16956.00,17560.00,272,1.57%,17520.00,294236,5155247412,2839936
2026-03-31,17860.00,18508.00,17559.00,18031.00,511,2.92%,18114.00,345804,6264032482,2818488
2026-04-01,18299.00,19038.00,18101.00,18663.00,549,3.03%,18655.00,359626,6709078698,2786826
2026-04-02,18786.00,18916.00,17304.00,17680.00,-975,-5.23%,17856.00,382260,6825964114,2794400
2026-04-03,17619.00,18280.00,17270.00,17803.00,-53,-0.30%,17907.00,250724,4489905196,2815220
2026-04-07,17849.00,18150.00,17688.00,17820.00,-87,-0.49%,17916.00,221000,3959573514,2838616
2026-04-08,17848.00,19015.00,17280.00,18854.00,938,5.24%,18719.00,302928,5670657008,2873562
2026-04-09,18947.00,19014.00,17961.00,18130.00,-589,-3.15%,18271.00,255442,4667392594,2874324
2026-04-10,18350.00,18802.00,18211.00,18560.00,289,1.58%,18562.00,239398,4443936724,2884610
2026-04-13,18560.00,18900.00,18279.00,18379.00,-183,-0.99%,18447.00,310744,5732547010,2840100
2026-04-14,18379.00,19220.00,18228.00,19148.00,701,3.80%,18818.00,273386,5144711594,2860580
2026-04-15,19150.00,20061.00,19070.00,19560.00,742,3.94%,19675.00,357302,7030152396,2854006
2026-04-16,19556.00,20000.00,19409.00,19853.00,178,0.90%,19869.00,303812,6036711404,2842140
2026-04-17,19760.00,19800.00,19320.00,19588.00,-281,-1.41%,19544.00,356236,6962446464,2783184
2026-04-20,19731.00,20502.00,19700.00,19771.00,227,1.16%,19972.00,422432,8436859042,2758022
2026-04-21,19795.00,19993.00,19531.00,19654.00,-318,-1.59%,19715.00,317220,6254248770,2771642
2026-04-22,19688.00,19695.00,18980.00,19543.00,-172,-0.87%,19438.00,376568,7319801236,2800750
2026-04-23,19498.00,19585.00,18833.00,18896.00,-542,-2.79%,19088.00,336710,6427132004,2737702
2026-04-24,18860.00,19130.00,18333.00,18481.00,-607,-3.18%,18668.00,511166,9542748992,2733064
2026-04-27,18830.00,18969.00,18575.00,18796.00,128,0.69%,18750.00,340784,6389858344,2698046
2026-04-28,18740.00,18809.00,17950.00,18066.00,-684,-3.65%,18288.00,362234,6624769174,2732712
2026-04-29,17800.00,18226.00,17782.00,18069.00,-219,-1.20%,18077.00,239088,4322015214,2732730
2026-04-30,17926.00,18148.00,17529.00,18119.00,42,0.23%,17915.00,278692,4992883474,2690070
2026-05-06,18409.00,18858.00,18341.00,18837.00,922,5.15%,18669.00,274812,5130623268,2730760
2026-05-07,19010.00,19588.00,18894.00,19538.00,869,4.65%,19279.00,397146,7656590632,2719416
2026-05-08,19875.00,20131.00,19513.00,19692.00,413,2.14%,19818.00,532908,10561250538,2701386
2026-05-11,19900.00,20085.00,19550.00,19895.00,77,0.39%,19877.00,518478,10306221890,2663478
2026-05-12,20033.00,21423.00,19997.00,20749.00,872,4.39%,20970.00,626580,13140007408,2666670
2026-05-13,20700.00,23400.00,20512.00,21265.00,295,1.41%,21618.00,766094,16561939590,2806016
2026-05-14,21369.00,22038.00,21101.00,21400.00,-218,-1.01%,21440.00,564400,12100962160,2785600
2026-05-15,21300.00,21345.00,19068.00,19428.00,-2012,-9.38%,19800.00,475602,9417173788,2803072
2026-05-18,19250.00,19309.00,18109.00,18601.00,-1199,-6.06%,18410.00,646982,11910950042,2746712
2026-05-19,18687.00,19122.00,18451.00,18542.00,132,0.72%,18728.00,684448,12818589940,2751056
2026-05-20,18510.00,18645.00,17821.00,18380.00,-348,-1.86%,18107.00,604242,10941520694,2792806
2026-05-21,18510.00,18820.00,18170.00,18321.00,214,1.18%,18484.00,338186,6251249928,2784846
2026-05-22,18366.00,18850.00,18119.00,18623.00,139,0.75%,18624.00,421934,7858420248,2753274
2026-05-25,18555.00,19240.00,18342.00,18929.00,305,1.64%,18880.00,377500,7127535186,2814330
2026-05-26,19024.00,19160.00,18443.00,18600.00,-280,-1.48%,18666.00,356582,6656314216,2840124
2026-05-27,18554.00,18862.00,18094.00,18222.00,-444,-2.38%,18498.00,437630,8095703632,2830674
2026-05-28,17934.00,18219.00,17421.00,17822.00,-676,-3.65%,17761.00,438514,7788630214,2826488
2026-05-29,17734.00,18534.00,17689.00,18180.00,419,2.36%,18258.00,330140,6027983360,2819796
