month,imports_kg,exports_kg,net_import_kg,imports_tonnes,exports_tonnes,net_import_tonnes,source,import_source_url,export_source_url,fetched_at
2025-01,911840,19710,892130,911.840,19.710,892.130,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2025-02,454066,3076,450990,454.066,3.076,450.990,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2025-03,128988,184500,-55512,128.988,184.500,-55.512,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2025-04,166447,6380,160067,166.447,6.380,160.067,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2025-05,534399,6280,528119,534.399,6.280,528.119,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2025-06,220418,3470,216948,220.418,3.470,216.948,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2025-07,476774,4106,472668,476.774,4.106,472.668,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2025-08,410850,4909,405941,410.850,4.909,405.941,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2025-09,1011843,22996,988847,1011.843,22.996,988.847,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2025-10,1784538,3806,1780732,1784.538,3.806,1780.732,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2025-11,661843,7216,654627,661.843,7.216,654.627,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2025-12,459977,2684,457293,459.977,2.684,457.293,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2026-01,747497,4812,742685,747.497,4.812,742.685,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2026-02,613197,5079,608118,613.197,5.079,608.118,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2026-03,247007,6752,240255,247.007,6.752,240.255,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2026-04,182216,9203,173013,182.216,9.203,173.013,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2026-05,46775,8910,37865,46.775,8.910,37.865,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
